record_date,workshop_code,workshop_name,energy_code,energy_name,consumption,unit,unit_price,cost,output_qty,output_unit,avg_temperature,record_status,data_source,reject_reason
2024-02-14,W05,表面处理车间,E01,电力,6172.663,kWh,0.6855,4231.29,,平方米,-0.82,停产,MES,业务键重复(日期×车间×能源)
2024-09-01,W05,表面处理车间,E02,天然气,287.745,m³,3.461,995.89,1395.922,平方米,19.93,低负荷,MES,业务键重复(日期×车间×能源)
2024-09-21,W01,熔炼车间,E01,电力,41740.199,kWh,0.6839,28545.86,284.144,吨,22.45,正常,MES,业务键重复(日期×车间×能源)
2024-01-02,W03,热处理车间,E03,蒸汽,35.997,t,221.1881,7962.06,93.378,吨,-6.36,正常,MES,业务键重复(日期×车间×能源)
2024-04-30,W06,装配车间,E01,电力,11105.797,kWh,0.674,7485.07,261.465,台,14.46,正常,MES,业务键重复(日期×车间×能源)
2024-04-15,W03,热处理车间,E03,蒸汽,28.646,t,223.3588,6398.33,94.4,吨,15.74,正常,MES,业务键重复(日期×车间×能源)
2024-11-23,W07,动力站,E04,工业水,867.549,m³,4.0396,3504.52,526.895,吨蒸汽,4.56,正常,MES,业务键重复(日期×车间×能源)
2024-05-14,W05,表面处理车间,E01,电力,21241.572,kWh,0.6668,14163.88,7492.989,平方米,22.96,正常,MES,业务键重复(日期×车间×能源)
2024-06-20,W02,轧制车间,E02,天然气,4785.993,m³,3.4199,16367.39,324.585,吨,26.61,正常,MES,业务键重复(日期×车间×能源)
2024-11-29,W04,机加工车间,E04,工业水,66.361,m³,4.1234,273.64,4255.057,件,6.46,正常,MES,业务键重复(日期×车间×能源)
2025-02-25,W04,机加工车间,E05,压缩空气,5414.925,m³,0.2765,1497.31,4280.095,件,0.19,正常,MES,业务键重复(日期×车间×能源)
2025-11-11,W05,表面处理车间,E01,电力,23750.101,kWh,0.6689,15886.26,7287.924,平方米,1.49,正常,MES,业务键重复(日期×车间×能源)
2024-03-11,W02,轧制车间,E03,蒸汽,45.561,t,221.1708,10076.78,311.369,吨,4.06,正常,MES,业务键重复(日期×车间×能源)
2024-03-07,W01,熔炼车间,E05,压缩空气,2978.557,m³,0.2878,857.19,262.025,吨,6.41,正常,MES,业务键重复(日期×车间×能源)
2024-01-02,W04,机加工车间,E05,压缩空气,5770.461,m³,0.2844,1641.08,4287.009,件,-6.36,正常,MES,业务键重复(日期×车间×能源)
2024-02-22,W01,熔炼车间,E01,电力,44486.455,kWh,0.6738,29975.22,257.599,吨,-3.11,正常,MES,业务键重复(日期×车间×能源)
2025-08-02,W04,机加工车间,E01,电力,16426.492,kWh,0.6812,11189.78,2843.688,件,25.78,低负荷,MES,业务键重复(日期×车间×能源)
2025-03-17,W07,动力站,E04,工业水,938.346,m³,4.173,3915.76,571.958,吨蒸汽,1.64,正常,MES,业务键重复(日期×车间×能源)
2025-03-15,W05,表面处理车间,E03,蒸汽,18.913,t,221.4447,4188.08,4429.042,平方米,3.85,低负荷,MES,业务键重复(日期×车间×能源)
2025-09-12,W01,熔炼车间,E01,电力,47144.596,kWh,0.6772,31927.56,272.179,吨,25.67,正常,MES,业务键重复(日期×车间×能源)
2024-05-10,W01,熔炼车间,E05,压缩空气,3311.195,m³,,928.71,251.528,吨,22.0,正常,MES,业务键重复(日期×车间×能源)
2024-05-15,W05,表面处理车间,E04,工业水,397.773,m³,4.064,1616.54,6648.152,平方米,20.98,正常,MES,业务键重复(日期×车间×能源)
2024-05-20,W07,动力站,E04,工业水,860.604,m³,4.2169,3629.04,530.436,吨蒸汽,26.03,正常,MES,业务键重复(日期×车间×能源)
2025-10-27,W05,表面处理车间,E02,天然气,835.656,m³,3.445,2878.8,8326.065,平方米,12.71,正常,MES,业务键重复(日期×车间×能源)
2025-07-12,W05,表面处理车间,E03,蒸汽,15.902,t,221.2208,3517.83,4556.545,平方米,28.07,低负荷,MES,业务键重复(日期×车间×能源)
2024-01-14,W01,熔炼车间,E02,天然气,11445.057,m³,3.4245,39194.03,260.855,吨,-5.92,正常,MES,业务键重复(日期×车间×能源)
2024-06-12,W07,动力站,E02,天然气,13160.811,m³,3.4494,45397.47,533.99,吨蒸汽,27.81,正常,MES,业务键重复(日期×车间×能源)
2025-12-08,W02,轧制车间,E03,蒸汽,48.244,t,215.1459,10379.54,306.259,吨,-4.02,正常,MES,业务键重复(日期×车间×能源)
2025-09-19,W05,表面处理车间,E01,电力,23509.578,kWh,0.6902,16226.35,7855.328,平方米,18.67,正常,MES,业务键重复(日期×车间×能源)
2024-06-04,W08,包装车间,E05,压缩空气,1414.374,m³,0.2767,391.38,10443.146,件,28.83,正常,MES,业务键重复(日期×车间×能源)
2025-06-18,W04,机加工车间,E05,压缩空气,5544.496,m³,0.2814,1560.32,4594.75,件,25.11,正常,MES,业务键重复(日期×车间×能源)
2025-04-02,W02,轧制车间,E03,蒸汽,39.819,t,219.7281,8749.31,337.963,吨,12.01,正常,MES,业务键重复(日期×车间×能源)
2025-08-20,W03,热处理车间,E03,蒸汽,24.101,t,222.2806,5357.07,99.637,吨,26.31,正常,MES,业务键重复(日期×车间×能源)
